# Units: Energy in GeV,  Length in mm,  Time in sec
#   Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     5       e^+   -11    3    3    0    0    0       0E0       0E0   2.009E1   2.009E1       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0       0E0       0E0  -1.056E2   1.056E2       0E0       0E0       0E0       0E0       0E0
     7       Z^0    23    3    5    6    0    0       0E0       0E0  -8.554E1   1.257E2   9.212E1       0E0       0E0       0E0       0E0
     8         s     3    3    7    0    0    0   8.926E0   3.921E1  -1.212E1     4.2E1      5E-1       0E0       0E0       0E0       0E0
     9        s~    -3    3    7    0    0    0  -8.926E0  -3.921E1  -7.341E1   8.371E1      5E-1       0E0       0E0       0E0       0E0
    10       Z^0    23    2    7    0   13   25       0E0       0E0  -8.554E1   1.257E2   9.212E1       0E0       0E0       0E0       0E0
    11     gamma    22    1    1    0    0    0       0E0       0E0   1.049E2   1.049E2       0E0       0E0       0E0       0E0       0E0
    12     gamma    22    1    2    0    0    0       0E0       0E0  -1.938E1   1.938E1       0E0       0E0       0E0       0E0       0E0
    13        s~    -3    2    8    0   26   26 -6.423E-1   1.005E0  -1.278E0   1.818E0      5E-1       0E0       0E0       0E0       0E0
    14         g    21    2    8    0   26   26   1.915E0   5.749E0  -2.026E0    6.39E0       0E0       0E0       0E0       0E0       0E0
    15         g    21    2    8    0   26   26   2.239E0   8.306E0   -2.99E0   9.108E0       0E0       0E0       0E0       0E0       0E0
    16         s     3    2    8    0   26   26   4.362E0   2.359E1  -8.778E0   2.555E1      5E-1       0E0       0E0       0E0       0E0
    17        s~    -3    2    9    0   33   33  -2.864E0   -1.09E1   -1.99E1   2.288E1      5E-1       0E0       0E0       0E0       0E0
    18         g    21    2    9    0   33   33  -4.041E0  -1.998E1  -3.763E1   4.279E1       0E0       0E0       0E0       0E0       0E0
    19         g    21    2    8    0   33   33 -2.769E-1  -7.132E0  -1.019E1   1.244E1       0E0       0E0       0E0       0E0       0E0
    20         g    21    2    8    0   33   33  2.161E-1 -8.844E-2 -5.505E-2  2.399E-1       0E0       0E0       0E0       0E0       0E0
    21         g    21    2    8    0   33   33 -2.166E-1 -3.923E-1  -1.937E0   1.988E0       0E0       0E0       0E0       0E0       0E0
    22         g    21    2    8    0   33   33  8.555E-2  1.601E-1  1.991E-1  2.695E-1       0E0       0E0       0E0       0E0       0E0
    23         g    21    2    8    0   33   33 -2.529E-1 -5.454E-1  -1.141E0   1.289E0       0E0       0E0       0E0       0E0       0E0
    24         g    21    2    8    0   33   33 -4.398E-2  1.097E-1  2.106E-1  2.415E-1       0E0       0E0       0E0       0E0       0E0
    25         s     3    2    8    0   33   33 -4.797E-1   1.23E-1 -2.113E-2   7.04E-1      5E-1       0E0       0E0       0E0       0E0
    26 generator-   92    2   13   16   27   32   7.874E0   3.865E1  -1.507E1   4.286E1   7.378E0       0E0       0E0       0E0       0E0
    27       K^+   321    1   26    0    0    0 -5.201E-2   1.198E0  -1.034E0   1.659E0  4.936E-1       0E0       0E0       0E0       0E0
    28 rho(770)^- -213    2   26    0   43   44  5.431E-1   1.708E0 -4.809E-1   2.006E0  7.615E-1       0E0       0E0       0E0       0E0
    29  Delta~^+ -1114    2   26    0   45   46   2.651E0   1.142E1  -4.423E0   1.259E1   1.222E0       0E0       0E0       0E0       0E0
    30 rho(770)^0  113    2   26    0   47   48  1.059E-1   2.725E0  -1.065E0   3.012E0  7.067E-1       0E0       0E0       0E0       0E0
    31   Delta^0  2114    2   26    0   49   50    3.08E0   1.555E1  -6.076E0   1.702E1   1.306E0       0E0       0E0       0E0       0E0
    32       K^-  -321    1   26    0    0    0   1.546E0    6.05E0  -1.992E0   6.573E0  4.936E-1       0E0       0E0       0E0       0E0
    33 generator-   92    2   17   25   34   42  -7.874E0  -3.865E1  -7.047E1   8.285E1   1.851E1       0E0       0E0       0E0       0E0
    34 K*(892)^0   313    2   33    0   51   52  -3.369E0  -1.573E1  -2.898E1   3.315E1  8.166E-1       0E0       0E0       0E0       0E0
    35       eta   221    2   33    0   53   54   -2.32E0  -8.728E0  -1.653E1   1.884E1  5.474E-1       0E0       0E0       0E0       0E0
    36       eta   221    2   33    0   55   56 -3.233E-1  -4.984E0  -9.064E0   1.036E1  5.474E-1       0E0       0E0       0E0       0E0
    37 omega(782)  223    2   33    0   57   59 -1.327E-1  -3.342E0  -4.774E0   5.881E0  7.782E-1       0E0       0E0       0E0       0E0
    38      pi^+   211    1   33    0    0    0 -9.729E-1  -2.329E0   -5.17E0   5.755E0  1.396E-1       0E0       0E0       0E0       0E0
    39 omega(782)  223    2   33    0   60   62 -7.552E-2  -3.581E0  -4.507E0   5.809E0  7.762E-1       0E0       0E0       0E0       0E0
    40      pi^-  -211    1   33    0    0    0  2.239E-1  1.357E-1 -2.332E-1  3.774E-1  1.396E-1       0E0       0E0       0E0       0E0
    41 rho(770)^+  213    2   33    0   63   64 -9.126E-1  2.687E-1  -1.482E0   1.997E0  9.407E-1       0E0       0E0       0E0       0E0
    42       K^-  -321    1   33    0    0    0  7.529E-3 -3.613E-1  2.722E-1  6.696E-1  4.936E-1       0E0       0E0       0E0       0E0
    43      pi^-  -211    1   28    0    0    0 -1.412E-1  2.953E-1  8.767E-3  3.559E-1  1.396E-1       0E0       0E0       0E0       0E0
    44      pi^0   111    2   28    0   65   66  6.843E-1   1.413E0 -4.896E-1    1.65E0   1.35E-1       0E0       0E0       0E0       0E0
    45      n~^0 -2112    1   29    0    0    0   2.552E0   1.101E1    -4.3E0   1.213E1  9.396E-1       0E0       0E0       0E0       0E0
    46      pi^+   211    1   29    0    0    0  9.841E-2  4.071E-1 -1.231E-1  4.583E-1  1.396E-1       0E0       0E0       0E0       0E0
    47      pi^+   211    1   30    0    0    0 -6.009E-2  4.299E-1  3.516E-2  4.573E-1  1.396E-1       0E0       0E0       0E0       0E0
    48      pi^-  -211    1   30    0    0    0   1.66E-1   2.295E0    -1.1E0   2.555E0  1.396E-1       0E0       0E0       0E0       0E0
    49       p^+  2212    1   31    0    0    0   2.691E0   1.365E1  -5.587E0   1.502E1  9.383E-1       0E0       0E0       0E0       0E0
    50      pi^-  -211    1   31    0    0    0  3.887E-1   1.898E0  -4.89E-1   2.003E0  1.396E-1       0E0       0E0       0E0       0E0
    51       K^+   321    1   34    0    0    0  -2.362E0  -1.001E1  -1.834E1   2.103E1  4.936E-1       0E0       0E0       0E0       0E0
    52      pi^-  -211    1   34    0    0    0  -1.007E0  -5.719E0  -1.064E1   1.212E1  1.396E-1       0E0       0E0       0E0       0E0
    53     gamma    22    1   35    0    0    0  -1.734E0  -6.015E0  -1.099E1   1.265E1       0E0       0E0       0E0       0E0       0E0
    54     gamma    22    1   35    0    0    0 -5.856E-1  -2.713E0  -5.535E0   6.192E0       0E0       0E0       0E0       0E0       0E0
    55     gamma    22    1   36    0    0    0 -1.736E-1    -4.7E0  -8.503E0   9.717E0       0E0       0E0       0E0       0E0       0E0
